
version	2021090501	整理全部题目, 缺少结语

Strongly Disagree\n1	完全\n不同意\n1
Posting in furry-related forums.	发兽圈相关的帖子。
Consuming official furry-related media (e.g., films, books, art, games).	观赏官方的兽向内容。（如影片、图书、画稿、游戏）
Consuming fan-made media (e.g., fanfiction, fan films, art).	观赏同人兽向内容。（如同人小说，同人影片，图画等）
Consuming theorycrafting / review videos / articles.	观看/阅读制作教程、书评影评视频、文章
Collecting official merchandise.	收藏官方周边
Collecting unofficial merchandise.	收藏同人周边
Searching out furry-related news.	搜索兽圈相关的新闻
Chatting online with other furries (e.g., IM programs, Skype).	在网上与其他兽迷聊天（如qq，贴吧，微信，b站）
Chatting with other furries face-to-face.	与其他兽迷线下面基。
Chatting with non-furries about furries.	和不是兽圈的人讨论兽圈。


Instructions: Please estimate the amount of leisure/free time you engage in activities related to your interest in furries (e.g., watching, reading, listening, talking with friends about furries, reading forums/news/social media related to furries, etc.). In other words, when thinking about your free time (outside of work and daily tasks) how much of that time is spent on things related to your furry interest? 	填写教程：请估算一下你有多少休闲时间花在了兽圈事务*上（*例如看，读，听，和朋友们讨论兽圈，阅读论坛、新闻、或者和兽圈有关的媒体信息等））。 换句话说，在你的可自由支配时间里（不用想工作并完成每日任务后）你的时间有多少被花在了和兽圈相关的兴趣上面？
The percentage of my leisure/free time that I engage in furry-related activities is... (click and drag slider)	我所花在兽圈事务上面的时间占我空闲时间的百分比为......（点击并拖动滑块）
% of Leisure Time on Furry Activities	空闲时间中兽圈活动的占比

I often participate in furry-related activities in my leisure time.	我常常在有空闲时参加兽圈相关的活动


Please rate the following items regarding YOUR FURRY ACTIVITIES.	请从您的兽圈活动体验出发对于以下事务进行同意程度打分。
Furry activities are very interesting to me.	兽圈活动对我来说很有意思。
Furry activities give me self-confidence.	兽圈活动给了我自信。
Furry activities give me a sense of accomplishment.	兽圈活动让我很有成就感。
I use many different skills and abilities in my furry activities.	我在兽圈活动中有利用到很多不同的技巧与能力。
Furry activities increase my knowledge about things around me.	兽圈活动让我对身边的事物更加了解。
Furry activities provide opportunities to try new things.	兽圈活动给予了我体验新事物的机会。
Furry activities help me to learn about myself.	兽圈活动让我更加了解我自己。
Furry activities help me to learn about other people.	兽圈活动让我更加了解其他人。
Furry activities help me to relax.	兽圈活动能够帮助我放松。
Furry activities help relieve stress.	兽圈活动能够帮助我释放压力。
Furry activities contribute to my emotional well-being.	兽圈活动帮助我维持了良好的情绪状态。
I engage in my furry activities simply because I like doing them.	我参加兽圈活动只是因为我喜欢。


Please rate the following items regarding your furry activities.	请从您的兽圈活动体验出发对于以下事务进行同意程度打分。
My furry activities enable me...	兽圈活动能够让我......
To meet other people.	去遇见更多的人。
To be in touch with other people.	和人们保持联系 
To communicate with people.	和别人交流
To carry out teamwork.	去完成团队活动
To cooperate with others.	去和别人合作
To do something with no hurry.	不紧不慢的做某些事
To forget about time.	忘记时间。
To enjoy myself without time pressure.	能够享受生活而不受时间的约束。
To feel I have enough time to do what I want.	让我觉得我有足够的时间去做所有我想要的事情
Not to be in a hurry when I want to do something I feel like.	当我去做自己想做的事情的时候不需要感到匆忙。
To do what I want.	能做我想做的事情。
To feel free to choose what I want to do.	能够自由选择我想做什么。
To do whatever I want whenever I want.	能够在任何时间做任何事情
To feel I own my time.	让我觉得能自由支配时间。
To decide by myself what I want to do.	能够自己决定我想要什么
To enjoy doing something because I like it, with no other reward.	去做一些事情只因为热爱，而不是回报。
To do something just to have a good time with no other purpose.	去做一些事情只是为了开心，而没有其他目的。
To do something because I like it forgetting about its practical utility.	去做一些事情只是因为热爱，而不是实用价值。
To do something just for the pleasure of it.	去做一些事情，只是为了从中能收获的愉悦感。


While engaging in activities related to furries...	当参与这些活动的时候……
I feel just the right amount of challenge.	挑战性方面对我来说刚刚好。
My thoughts/activities run fluidly and smoothly.	我的思绪和活动都很流畅。
I don’t notice time passing.	我甚至都没注意到时间的流逝。
I have no difficulty concentrating.	我很轻松就能集中注意力
My mind is completely clear.	我的思维很清晰。
I am totally absorbed in what I am doing.	我沉浸在自己正在做的事情之中。
The right thoughts/movements occur of their own accord.	一切都水到渠成。
I know what I have to do each step of the way.	我知道自己每一步需要做什么。 
I feel that I have everything under control.	一切尽在我的掌握之中。
I am completely lost in thought.	我完全沉浸在自己的世界里。 
I am so absorbed that I lose track of time and place.	我太投入，以至于忘记了自己所在的时空。 
I feel in total control of what I am doing.	我知道我正在做什么。
I feel like I can control what I'm doing.	我能控制我的所作所为。
I have a feeling of total control.	我有一种“完全的控制感”。
I feel in total control of my body.	我能完全控制我的身体。


I make full use of my talent when engaging in furry activities.	在兽圈活动之中我能够完美地利用自己的才华。
I reach my potential in furry activities.	在兽圈活动中我能够进一步激发自己的潜能。
Furry activities have enabled me to realize my potential.	兽圈活动让我意识到了自己的潜能。
Furry activities provide me with a profound sense of satisfaction.	兽圈活动让我感受到了更加高级的快乐。
My experiences with furry activities are deeply gratifying.	我在兽圈活动中的经历是非常可喜的。
Furry activities are intensely gratifying to me.	兽圈活动对于我来说是非常可喜的。
Furry activities are enjoyable to me.	兽圈活动对于我来说是值得享受的。
Furry activities are fun to me.	兽圈活动对我来说很有趣。
I enjoy furry activities.	我很享受兽圈活动。
Furry activities teach me new things.	兽圈活动教导了我新的知识。 
Furry activities make me think and reflect.	兽圈活动能引发我的思考和反思。
Furry activities are original, inventive and pose new ways of thinking.	兽圈活动是原创性的，有创造力的，而且能引出全新的思考方向。
Furry activities arouse my curiosity and challenge me to explore.	兽圈活动激发了我的好奇心，鼓励我进一步去探索。
I like encouraging a group of friends or acquaintances to engage with furry activities.	我喜欢去鼓励我的朋友和熟人参与兽圈活动。
I enjoy myself more when we participate in a group and we form a community that participates in furry activities.	如果我能参与集体活动，并和大家形成一个进行兽圈活动的小团体的话，我会更高兴。
Furry activities are like an adventure.	兽圈活动就像一场冒险。
I like feeling close and belonging to a group of people who like the same furry interest.	我喜在兽圈中有相同爱好的小圈子中的归属感与亲近感。
My favorite furry activities are complex and require more active participation.	我最喜欢的兽圈活动比较复杂，而且需要更高的参与积极性。
I find a lot of my life is organized around my furry activities.	我发现当我的生活是围绕着兽圈活动安排的。
Furry activities occupy a central role in my life.	兽圈活动是我生活的一个核心元素。 
To change my preference from my furry interest to another would require major rethinking.	我要经过一番深思熟虑才能改变我在Furry方面的爱好。


In this section, we wish to examine how furries understand and define and related concepts, regardless of whether they participate in poly relationships or not.	在这个部分，我们想要看看兽迷们如何理解与描述以下的概念，不管你是否有参与到多边关系之中。
How would you define 1) polyamory, 2) poly open relationships, and 3)non-poly open relationships?	你如何定义1）多边关系2）开放式多边关系3）开放式非多边关系


Do you see polyamory as a choice, natural, biologically driven, and/or something else? In other words, why do you think people are polyamorous?	你觉得多边关系是一种“选择”、一种“天性”，还是受一些生物因素驱动，亦或者是其他的东西？或者说，你觉得人们为什么会产生多边关系？


How do you feel about 1) monogamous and 2) polyamorous relationships	你对于以下关系有何看法1）一对一关系2）多边关系
(e.g., what are your impressions/assumptions about the people involved?)	（比如：你对于参与这两种关系的人群分别有怎样的看法？）

第43页
This last section is about furries who identify as polyamorous. We wish to understand more about these romantic relationships. If you identify as polyamorous, please complete the following questions. If you do not, please skip to the next page.	最后的这一个部分是提供给自认为是多边关系的furry， 我们希望能够更多的了解这种浪漫关系。如果你是多边关系者，请完成以下问卷，如果你不是，请跳到下一页
Do you use any of these terms to describe or classify your relationship(s)? Please check all that apply.	你是否会用以下词语来描述你们的关系？请选择所有你使用的词语
Primary/Secondary	主要的/次要的
Non-hierarchal	不分等级的
Poly-family	多元成家
Please let us know other terms you use to describe your relationship(s)	请告诉我们其他你用来描述你们关系的词语

How did you become involved in (a) polyamorous relationship(s)?	你是如何开始一段多边关系的？

We are trying to understand nuances in furries’ adult romantic relationship(s) structures. Please describe your current relationship(s) status(es) (e.g., Person A/Person B/Person C, or feel free to assign pseudonyms). What are the genders, race, age, and sexual orientations of the members? Can you give us any insights into the various roles people play in the arrangements or describe any personal dynamics (e.g.,closeness, duration of relationship, level of commitment)? Are there furries and non-furries involved? Are these relationships sexual/not? Are some relationships more enduring than others? Is there anything else that can help us understand? How does your role or personality change with different partners (if at all)?	我们想要了解兽迷间成人关系之间结构的细微差别。请描述下你目前的关系状况例如（人物A/人物B/人物C，这里完全可以使用化名。）其中成员们的性别，种族（指人种），年龄以及性取向分别是什么？ 你能否向我们描述一下大家在这个关系中都扮演了什么样的角色（例如：亲密度，关系之间的牢固程度，还有相互承诺的等级）？在这个关系中是否包含了兽迷与非兽迷？你们的关系与性有关吗？你是否有些别的东西能够帮助我们更进一步了解这个关系？你的角色与性格在和不同成员的互动中会有怎样的变化（如果有的话）？

Please describe how you and others in your relationship(s) negotiated the rules and boundaries of your relationship(s)? If you needed to make changes, how did they come about? Many individuals and families seek support from professionals (i.e., counsellors, social workers). Have you ever sought individual or family counseling since identifying as polyamorous? If yes, what factors led up to you seeking that support? Please explain your experience. What factors contributed to positive/negative experiences? Did being furry
have any impact?	请描述一下你和关系中的其他人是如何协商你们关系的“规则”和“界限”的？如果你需要做出改变，将如何实现？许多个人和家庭会寻求专业人士(比如辅导员、社会工作者)的支持。自确定自己是多边关系者后，你是否曾寻求过个人或家庭咨询？如果是，是什么因素驱使你去寻求支持？请描述一下你的经历。什么因素促成了积极/消极的体验？成为兽迷对于这段经历有什么影响吗？





















Do you have any other thoughts, comments, criticisms, or suggestions about this study that you'd like to let the researchers know about?	对于此次调查，你是否还有其他的想法、评价、意见或建议想要告诉研究员们？


















